date,symbol,side,qty,price,fee,cash_before,cash_after,pos_before,pos_after,equity_before,equity_after
2020-01-30,MSFT,BUY,121.023,165.257,20,200000,179980,0,121.023,0,0
2020-02-14,GOOG,BUY,239.285,75.2159,17.998,179980,161964,0,239.285,0,0
2020-02-26,GOOG,SELL,239.285,69.2873,16.5794,161964,178527,239.285,0,0,0
2020-02-26,MSFT,SELL,121.023,161.577,19.5546,178527,198062,121.023,0,0,0
2020-04-13,AAPL,BUY,305.506,64.8306,19.8062,198062,178236,0,305.506,0,0
2020-04-07,GOOG,BUY,294.14,60.5955,17.8236,178236,160394,0,294.14,0,0
2020-04-06,MSFT,BUY,105.083,152.637,16.0394,160394,144339,0,105.083,0,0
2020-06-15,GOOG,SELL,294.14,69.0223,20.3022,144339,164621,294.14,0,0,0
2020-07-13,GOOG,BUY,214.007,76.9231,16.4621,164621,148142,0,214.007,0,0
2020-07-29,MSFT,SELL,105.083,193.332,20.3158,148142,168438,105.083,0,0,0
2020-08-10,GOOG,SELL,214.007,73.8054,15.7949,168438,184217,214.007,0,0,0
2020-08-19,GOOG,BUY,238.972,77.0873,18.4217,184217,165777,0,238.972,0,0
2020-08-19,MSFT,BUY,81.9043,202.403,16.5777,165777,149183,0,81.9043,0,0
2020-09-17,MSFT,SELL,81.9043,191.455,15.681,149183,164848,81.9043,0,0,0
2020-10-14,MSFT,BUY,77.2415,213.419,16.4848,164848,148347,0,77.2415,0,0
2020-09-14,AAPL,SELL,305.506,111.378,34.0267,148347,182339,305.506,0,0,0
2020-10-13,AAPL,BUY,149.925,121.621,18.2339,182339,164087,0,149.925,0,0
2020-10-30,AAPL,SELL,149.925,107.825,16.1656,164087,180236,149.925,0,0,0
2020-09-17,GOOG,SELL,238.972,74.2432,17.742,180236,197961,238.972,0,0,0
2020-10-12,GOOG,BUY,258.516,76.5757,19.7961,197961,178145,0,258.516,0,0
2020-10-30,MSFT,SELL,77.2415,194.756,15.0433,178145,193173,77.2415,0,0,0
2020-12-22,MSFT,BUY,90.403,213.68,19.3173,193173,173836,0,90.403,0,0
2020-11-20,AAPL,BUY,150.661,115.382,17.3836,173836,156435,0,150.661,0,0
2020-12-21,GOOG,SELL,258.516,85.0377,21.9836,156435,178397,258.516,0,0,0
2021-01-13,MSFT,SELL,90.403,205.361,18.5652,178397,196944,90.403,0,0,0
2021-01-26,MSFT,BUY,88.5224,222.479,19.6944,196944,177230,0,88.5224,0,0
2021-02-23,MSFT,SELL,88.5224,221.52,19.6095,177230,196820,88.5224,0,0,0
2021-01-21,GOOG,BUY,208.952,94.1935,19.682,196820,177118,0,208.952,0,0
2021-01-19,AAPL,SELL,150.661,124.271,18.7229,177118,195822,150.661,0,0,0
2021-01-26,AAPL,BUY,140.216,139.657,19.5822,195822,176220,0,140.216,0,0
2021-03-24,MSFT,BUY,77.0355,228.752,17.622,176220,158581,0,77.0355,0,0
2021-03-04,GOOG,SELL,208.952,100.415,20.982,158581,179542,208.952,0,0,0
2021-02-12,AAPL,SELL,140.216,130.856,18.3482,179542,197872,140.216,0,0,0
2021-04-05,GOOG,BUY,185.194,106.846,19.7872,197872,178065,0,185.194,0,0
2021-04-09,AAPL,BUY,140.846,126.425,17.8065,178065,160240,0,140.846,0,0
2021-05-04,MSFT,SELL,77.0355,241.37,18.5941,160240,178816,77.0355,0,0,0
2021-05-05,AAPL,SELL,140.846,125.84,17.7242,178816,196522,140.846,0,0,0
2021-05-18,GOOG,SELL,185.194,115.975,21.4779,196522,217979,185.194,0,0,0
2021-06-16,AAPL,BUY,171.373,127.195,21.7979,217979,196159,0,171.373,0,0
2021-06-09,MSFT,BUY,80.1744,244.665,19.6159,196159,176524,0,80.1744,0,0
2021-06-01,GOOG,BUY,146.86,120.198,17.6524,176524,158854,0,146.86,0,0
2021-09-13,MSFT,SELL,80.1744,287.379,23.0404,158854,181871,80.1744,0,0,0
2021-09-20,AAPL,SELL,171.373,140.509,24.0794,181871,205926,171.373,0,0,0
2021-10-21,AAPL,BUY,141.623,145.404,20.5926,205926,185313,0,141.623,0,0
2021-10-18,MSFT,BUY,63.2052,293.193,18.5313,185313,166763,0,63.2052,0,0
2021-07-01,GOOG,SELL,146.86,123.92,18.1989,166763,184944,146.86,0,0,0
2021-07-06,GOOG,BUY,143.941,128.486,18.4944,184944,166431,0,143.941,0,0
2021-12-06,MSFT,SELL,63.2052,313.448,19.8116,166431,186223,63.2052,0,0,0
2021-08-16,GOOG,SELL,143.941,136.973,19.716,186223,205919,143.941,0,0,0
2021-08-24,GOOG,BUY,146.572,140.49,20.5919,205919,185307,0,146.572,0,0
2022-01-18,AAPL,SELL,141.623,167.829,23.7685,185307,209051,141.623,0,0,0
2022-02-11,AAPL,BUY,123.812,168.846,20.9051,209051,188125,0,123.812,0,0
2022-02-22,AAPL,SELL,123.812,161.645,20.0135,188125,208119,123.812,0,0,0
2021-09-20,GOOG,SELL,146.572,137.965,20.2219,208119,228320,146.572,0,0,0
2022-03-28,MSFT,BUY,77.3775,295.073,22.832,228320,205466,0,77.3775,0,0
2022-03-28,AAPL,BUY,121.801,168.689,20.5466,205466,184898,0,121.801,0,0
2021-10-20,GOOG,BUY,129.165,143.149,18.4898,184898,166390,0,129.165,0,0
2022-04-18,AAPL,SELL,121.801,160.606,19.562,166390,185933,121.801,0,0,0
2022-04-13,MSFT,SELL,77.3775,274.13,21.2115,185933,207123,77.3775,0,0,0
2021-11-26,GOOG,SELL,129.165,143.936,18.5915,207123,225696,129.165,0,0,0
2022-07-06,MSFT,BUY,88.0512,256.323,22.5696,225696,203104,0,88.0512,0,0
2022-07-08,AAPL,BUY,142.496,142.533,20.3104,203104,182773,0,142.496,0,0
2022-08-30,AAPL,SELL,142.496,159.307,22.7006,182773,205451,142.496,0,0,0
2022-03-28,GOOG,BUY,147.132,139.637,20.5451,205451,184885,0,147.132,0,0
2022-08-29,MSFT,SELL,88.0512,258.913,22.7976,184885,207660,88.0512,0,0,0
2022-04-12,GOOG,SELL,147.132,131.438,19.3387,207660,226979,147.132,0,0,0
2022-10-31,AAPL,BUY,150.824,150.493,22.6979,226979,204259,0,150.824,0,0
2022-12-09,AAPL,SELL,150.824,140.093,21.1294,204259,225367,150.824,0,0,0
2022-07-11,GOOG,BUY,191.367,117.767,22.5367,225367,202808,0,191.367,0,0
2022-11-23,MSFT,BUY,84.7198,239.387,20.2808,202808,182507,0,84.7198,0,0
2022-07-26,GOOG,SELL,191.367,106.63,20.4055,182507,202892,191.367,0,0,0
2022-08-11,GOOG,BUY,167.442,121.171,20.2892,202892,182582,0,167.442,0,0
2022-12-21,MSFT,SELL,84.7198,236.046,19.9978,182582,202560,84.7198,0,0,0
2022-08-24,GOOG,SELL,167.442,113.598,19.0211,202560,221562,167.442,0,0,0
2022-11-23,GOOG,BUY,229.324,96.6154,22.1562,221562,199384,0,229.324,0,0
2022-12-09,GOOG,SELL,229.324,93.201,21.3732,199384,220736,229.324,0,0,0
